方法,关系边总数,触发关系边数,触发冲突覆盖率,状态变化关系边数,状态变化关系边占比,keep数量,更新影响控制率,filtered数量,review数量,mark_mixed数量,高证据关系数,高证据被过滤数,高证据关系保护率,低证据触发关系数,低证据触发后处理数,低证据异常关系处理率,原始证据保留率
NoConstraint,151557,0,0.00%,0,0.00%,151557,100.00%,0,0,0,2005,0,100.00%,0,0,0.00%,100.00%
PaTeCon-Direct,151557,68802,45.40%,44396,29.29%,107161,70.71%,44396,0,0,2005,648,67.68%,40385,26728,66.18%,100.00%
LLM-only,151557,13445,8.87%,6060,4.00%,145497,96.00%,6060,0,0,2005,72,96.41%,9180,4317,47.03%,100.00%
SSTC-Fusion,151557,13445,8.87%,13445,8.87%,138112,91.13%,0,11909,1536,2005,0,100.00%,9180,9180,100.00%,100.00%
