org_id,canonical_name,raw_name,normalized_name,clean_name,frequency,source_count,sources,type_info,sector_info,known_group_info,org_signal,all_raw_names,old_org_id,sample_aliases,manual_is_correct_alignment,manual_note
ORG_000764,LEGISLATIVE ASSEMBLY,LEGISLATIVE ASSEMBLY,LEGISLATIVE ASSEMBLY,LEGISLATIVE ASSEMBLY,814,1,GDELT,LEG GOV NAN NAN;LEG LEG NAN NAN;LEG NAN NAN NAN,,,814,,ORG_000800,LEGISLATIVE ASSEMBLY,,
ORG_006210,LIONS CLUBS INTERNATIONAL,LIONS CLUBS INTERNATIONAL,LIONS CLUBS INTERNATIONAL,LIONS CLUBS INTERNATIONAL,6,1,GDELT,NGO NAN NAN NAN,,,6,,ORG_009827,LIONS CLUBS INTERNATIONAL; LIONS CLUB INTERNATIONAL,,
ORG_005935,RUSSIAN FEDERAL SPACE SERVICE,Russian Federal Space Service,RUSSIAN FEDERAL SPACE SERVICE,RUSSIAN FEDERAL SPACE SERVICE,6,1,ICEWS,,EXECUTIVE;GOVERNMENT;SCIENCE / TECH / KNOWLEDGE / INNOVATION MINISTRY,,6,,ORG_009019,Russian Federal Space Service; RUSSIAN FEDERAL SPACE SERVICE,,
ORG_001340,GOVERNMENT REPRESENTATIVE,GOVERNMENT REPRESENTATIVE,GOVERNMENT REPRESENTATIVE,GOVERNMENT REPRESENTATIVE,306,1,GDELT,GOV NAN NAN NAN,,,306,,ORG_001443,GOVERNMENT REPRESENTATIVE,,
ORG_002320,NON GOVERNMENT ORGANISATION,NON GOVERNMENT ORGANISATION,NON GOVERNMENT ORGANISATION,NON GOVERNMENT ORGANISATION,88,1,GDELT,NGO NAN NAN NAN,,,88,,ORG_002703,NON GOVERNMENT ORGANISATION,,
ORG_001596,ROYAL PALACE,ROYAL PALACE,ROYAL PALACE,ROYAL PALACE,204,1,GDELT,GOV COP NAN NAN;GOV MED NAN NAN;GOV NAN NAN NAN,,,204,,ORG_001766,ROYAL PALACE,,
ORG_002837,TERRY GOU,Terry Gou,TERRY GOU,TERRY GOU,52,1,ICEWS,,BUSINESS;SOCIAL,,52,,ORG_003480,Terry Gou; TERRY GOU,,
ORG_001851,GEORGE OSBORNE,George Osborne,GEORGE OSBORNE,GEORGE OSBORNE,147,2,GDELT;ICEWS,GOV ELI NAN NAN;GOV NAN NAN NAN,(NATIONAL) MAJOR PARTY;CABINET;CENTER RIGHT;ELITE;EXECUTIVE;GOVERNMENT;IDEOLOGICAL;LEGISLATIVE / PARLIAMENTARY;PARTIES,,147,,ORG_002078,GEORGE OSBORNE; George Osborne,,
ORG_003556,ZAGREB,ZAGREB,ZAGREB,ZAGREB,30,1,GDELT,EDU NAN NAN NAN;GOV NAN NAN NAN,,,30,,ORG_004628,ZAGREB,,
ORG_000626,COURT OF APPEALS,COURT OF APPEALS,COURT OF APPEALS,COURT OF APPEALS,1064,1,GDELT,JUD CRM NAN NAN;JUD JUD NAN NAN;JUD NAN NAN NAN,,,1064,,ORG_000651,COURT OF APPEALS,,
