Priest (India)	CAMEO_14	Unspecified Actor	20230103	20230103
Government (United States)	CAMEO_05	Juan Guaidó	20230103	20230103
Venezuela	CAMEO_01	Juan Guaidó	20230103	20230103
Colombia	CAMEO_17	Police (Ecuador)	20230103	20230103
Finance / Economy / Commerce / Trade Ministry (Cote d'Ivoire)	CAMEO_02	Citizen (Cote d'Ivoire)	20230103	20230103
Citizen (Cote d'Ivoire)	CAMEO_03	Finance / Economy / Commerce / Trade Ministry (Cote d'Ivoire)	20230103	20230103
Other Authorities / Officials (Mexico)	CAMEO_01	Police (Mexico)	20230103	20230103
Israel	CAMEO_19	Iran	20230103	20230103
Hossein Salami	CAMEO_01	Iran	20230103	20230103
Senegal	CAMEO_17	Main Opposition (Senegal)	20230103	20230103
Main Opposition (Senegal)	CAMEO_18	Citizen (Senegal)	20230103	20230103
Citizen (Venezuela)	CAMEO_02	Nicolás Maduro	20230103	20230103
Governor (Argentina)	CAMEO_05	Alberto Fernández	20230103	20230103
Argentina	CAMEO_05	Member of the Judiciary (Argentina)	20230103	20230103
Colombia	CAMEO_17	Citizen (Germany)	20230103	20230103
Hamas	CAMEO_11	Ministry (Israel)	20230103	20230103
International Organization for Migration	CAMEO_01	Immigrants (Libya)	20230103	20230103
Lawyer/Attorney (Honduras)	CAMEO_09	City Mayor (Honduras)	20230103	20230103
Citizen (Jordan)	CAMEO_01	Head of Government (Jordan)	20230103	20230103
Saudi Arabia	CAMEO_11	Ministry (Israel)	20230103	20230103
Foreign Affairs (Saudi Arabia)	CAMEO_01	Saudi Arabia	20230103	20230103
Foreign Affairs (Saudi Arabia)	CAMEO_01	Other Authorities / Officials (Israel)	20230103	20230103
Saudi Arabia	CAMEO_05	Palestinian Territory, Occupied	20230103	20230103
Colombia	CAMEO_16	Police (Ecuador)	20230103	20230103
Ukraine	CAMEO_01	Russia	20230103	20230103
United States	CAMEO_16	Nicolás Maduro	20230103	20230103
United States	CAMEO_05	Juan Guaidó	20230103	20230103
Citizen (Iraq)	CAMEO_14	United States	20230103	20230103
United States	CAMEO_18	Qasem Soleimani	20230103	20230103
United States	CAMEO_18	Military (Iraq)	20230103	20230103
Protester (Iraq)	CAMEO_14	United States	20230103	20230103
Volodymyr Zelensky	CAMEO_04	Justin Trudeau	20230103	20230103
